,0
"200 Clarendon St,Boston, MA 02116,",0.7391568103305343 -1.2404713815522876
"491 Blue Hill Ave,Boston, MA 02121,",0.738443181851308 -1.2406176567242329
"161 Blue Hill Ave,Roxbury, MA 02119,",0.7386344585926865 -1.2405193597807604
"884 Morton St,Boston, MA 02126,",0.7379653892419283 -1.2406397927351358
"389 Centre St,Jamaica Plain, MA 02130,",0.738684602774761 -1.241072390043535
"11 Corinth St,Roslindale, MA 02131,",0.7380611615666375 -1.2414352719202928
"957 Commonwealth Ave,Boston, MA 02215,",0.7391997620107611 -1.2412370609857961
"155 Seaport Blvd,Boston, MA 02210,",0.7391680572322341 -1.2399108219391197
"59 E Springfield St,Boston, MA 02118,",0.7389167402919224 -1.240464605311467
"63 Beach St,Boston, MA 02111,",0.7391906897893092 -1.2402112323732963
"400 Soldiers Field Rd,Boston, MA 02134,",0.7393453521409746 -1.2412249929066832
"624 Blue Hill Ave,Dorchester, MA 02121,",0.7383488398239207 -1.2406456526780993
"3094 Washington St,Boston, MA 02119,",0.7385619035103518 -1.2408831876259725
"57 Canal St,Boston, MA 02114,",0.7394129478702399 -1.2401946168388174
"25 Temple Pl,Boston, MA 02111,",0.7392613826053321 -1.2402467358609404
"30 Benington St,Boston, MA 02128,",0.7396134233694412 -1.2398228695621243
"176 Boylston St,Boston, MA 02116,",0.7392127769309933 -1.2403301102393083
"133 Federal St,Boston, MA 02110,",0.7392449756376988 -1.2401472049696871
"283 Longwood Ave,Children's Hospital,Boston, MA 02115,",0.7389628379281259 -1.2409840458401222
"50 Congress St,Boston, MA 02109,",0.7393105729649703 -1.2401423005944887
"284 Congress St,Boston, MA 02210,",0.739246940005772 -1.2401114998965144
"1080 Boylston St,Boston, MA 02115,",0.7391193957073591 -1.2406989515427969
"1132 Blue Hill Ave,Dorchester Center, MA 02124,",0.7380461377724364 -1.2407440203074065
"431 Brookline Ave,Boston, MA 02215,",0.738968935235868 -1.2410435004810914
"Boston, MA 02210,",0.7393168111156951 -1.2393451211146622
"Boston, MA 02114,",0.7395298983640711 -1.240192010718266
"441 Stuart St,Boston, MA 02116,",0.7391451366958324 -1.2404850431170078
"313 Congress St,Boston, MA 02210,",0.7391898581399207 -1.240036351254911
"605 Centre St,Jamaica Plain, MA 02130,",0.7385558838697618 -1.2411536831167698
"123 Brighton Ave,Allston, MA 02134,",0.7392225961533652 -1.2414445815065227
"22 Kneeland St,Boston, MA 02111,",0.7391852286540797 -1.2402439476974605
"400 Tremont St,Boston, MA 02116,",0.7391216288561372 -1.2403515018672853
"112 Stoughton St,Boston, MA 02125,",0.7385670723029314 -1.2402300452773034
"1501 Dorchester Ave,Boston, MA 02122,",0.738287223592673 -1.2402170163944375
"200 Faneuil Hall Marketplace,Boston, MA 02109,",0.7393475294392166 -1.2401025486314672
"300 Terminal C,East Boston, MA 02128,",0.7395125738819379 -1.2395072328755534
"1 Harborside Dr,Terminal C, Pier C,Boston, MA 02128,",0.7394248867949882 -1.2395328312757141
"168 W Brookline St,Roxbury, MA 02118,",0.7390411246717243 -1.240488574790749
"1100 Boylston St,Boston, MA 02215,",0.7391159137755016 -1.240704457183922
"28 Damrell St,Ste 107,Boston, MA 02127,",0.7388758856247918 -1.2401350958753363
"52 Temple Pl,Boston, MA 02111,",0.7392587515214848 -1.2402357970098536
"1375 Washington St,Boston, MA 02118,",0.7390216782131988 -1.2403735994809448
"100 Federal St,Fl 36,Boston, MA 02110,",0.7392642606532687 -1.240142207219374
"139  Tremont St,Boston, MA 02116,",0.7392381147484092 -1.240330975049953
"38 Brooks St,Boston, MA 02135,",0.7392782372499186 -1.2419926087829967
"1 Faneuil Hall Marketplace,Boston, MA 02455,",0.7393379240196783 -1.2401348201133149
"1198 Blue Hill Ave,Boston, MA 02126,",0.7380104937857878 -1.2407570326096447
"956 American Legion Hwy,Boston, MA 02131,",0.7378562555491303 -1.2411671003353946
"305 Huntington Ave,Boston, MA 02115,",0.739017272129502 -1.2406832348528825
"7 Liberty Sq,Boston, MA 02109,",0.739311177721556 -1.2401260585604696
"1 Stuart St,Boston, MA 02116,",0.7391884732211592 -1.2402625249820187
"345 W 1st St,Boston, MA 02127,",0.738974479274237 -1.2399608116595555
"80 Arch St,Boston, MA 02110,",0.739262496125395 -1.2401737435736282
"535 Columbia Rd,Boston, MA 02125,",0.7385751837206302 -1.2403123227162365
"682 Tremont St,Boston, MA 02118,",0.7390149796395294 -1.2405002754780545
"80 Atlantic Ave,Boston, MA 02110,",0.7393887340448622 -1.2400449182035447
"315 Huntington Ave,Boston, MA 02115,",0.7390131898043814 -1.2406896585371945
"42 Newmarket Sq,Roxbury, MA 02118,",0.7387992647979645 -1.2403041144327644
"132 Canal St,Boston, MA 02114,",0.7394277692062478 -1.2402166210773617
"1153 Commonwealth Ave,Allston, MA 02134,",0.7391844598365443 -1.2413871976987112
"Boston, MA 02111,",0.7392459682013567 -1.2401593416453272
"116 Newbury St,Boston, MA 02116,",0.7391926916819614 -1.2404862901547584
"131 State St,Boston, MA 02109,",0.7393303510360538 -1.2401099352088398
"40 Fay St,Boston, MA 02118,",0.7390526551894276 -1.2402921449647544
"350 Longwood Ave,Boston, MA 02115,",0.7389706447858703 -1.241024292260009
"417 Washington St,Boston, MA 02108,",0.739280433746782 -1.2402241347197915
"3710 Washington St,Jamaica Plain, MA 02130,",0.7383030406390192 -1.2411358039639124
"190 N Beacon St,Boston, MA 02135,",0.7392708370538902 -1.2417418616926859
"595 Commonwealth Ave,Fl 2,Boston, MA 02215,",0.7391663101576528 -1.24090105543419
"2255 Dorchester Ave,Dorchester, MA 02124,",0.73783433508639 -1.2403457300634488
"575 Boylston St,Boston, MA 02116,",0.7391784559039174 -1.24049426630944
"241 Hanover St,Boston, MA 02113,",0.7393999381859956 -1.2401202326514265
"11 Board Alley,Boston, MA 02113,",0.7393462762928137 -1.2403056372325367
"256 Washington St,Brighton, MA 02135,",0.7391345835625102 -1.241772317688133
"75 Francis St,Boston, MA 02115,",0.7389201553725822 -1.2409971293568816
"600 Washington St,Boston, MA 02135,",0.7391777525362287 -1.242074325098575
"328 Washington St,Boston, MA 02135,",0.7391519827498231 -1.2418162834046556
"1597 Commonwealth Ave,Brighton, MA 02135,",0.7390657573761221 -1.241658056217993
"218 Market St,Brighton, MA 02135,",0.7392597594491278 -1.2417715846498474
"20 Guest St,Boston, MA 02135,",0.7393033141406112 -1.2417166373216715
"225 William F McClellan,Boston, MA 02128,",0.739823581955332 -1.2394586036392699
"200 Boylston St,Four Seasons Hotel Boston,Boston, MA 02116,",0.7392084109898694 -1.240356264870814
"64 Broad St,Boston, MA 02109,",0.7393070692164967 -1.2400935474398282
"99 Broad St,Boston, MA 02110,",0.7392977570122727 -1.2400782129770203
"483 E Broadway,Boston, MA 02127,",0.7389150420865603 -1.239955390666899
"258 W Broadway,Boston, MA 02127,",0.7389846894503611 -1.2400599611963676
"1638 Blue Hill Ave,Mattapan, MA 02126,",0.7377434845901714 -1.2407914208318969
"275 Emerson St,Boston, MA 02127,",0.7388969927641007 -1.239780011257012
"1033 Commonwealth Ave,Boston, MA 02215,",0.7392069492766208 -1.241287507109831
"7 School St,Boston, MA 02108,",0.7393023515915288 -1.2401832163481434
"211 Congress St,Boston, MA 02110,",0.7392527781321198 -1.2401176085488965
"375 Longwood Ave,Boston, MA 02215,",0.7389916437147654 -1.2410494616531518
"300 Summer St,Boston, MA 02210,",0.7391709370254999 -1.2400190751133104
"151 Brighton Ave,Allston, MA 02134,",0.7392246207352974 -1.2414613087420743
"3698 Washington St,Jamaica Plain, MA 02130,",0.7383091475460717 -1.24112687311413
"50 Dalton St,Boston, MA 02115,",0.7391189707196862 -1.2406509305537574
"252 Friend St,Boston, MA 02114,",0.7394244417360288 -1.2402292476618357
